Tous	HP:0000001#
Hypoplasie du clitoris	HP:0000060#
Petit clitoris	HP:0000060#
Clitoris hypoplasique	HP:0000060#
Clito sous-développé	HP:0000060#
Organes génitaux ambigus, femelle	HP:0000061#
Organes génitaux ambigus dus à une virilisation	HP:0000061#
Organes génitaux ambigus	HP:0000062#
Organes génitaux externes ambigus à la naissance	HP:0000062#
Organes génitaux intersexués	HP:0000062#
Organes génitaux externes ambigus	HP:0000062#
Petites lèvres soudées	HP:0000063#
Lèvres internes soudées	HP:0000063#
Petites lèvres hypoplasiques	HP:0000064#
Lèvres intérieures sous-développées	HP:0000064#
Hypertrophie labiale	HP:0000065#
Agrandissement des lèvres vaginales	HP:0000065#
Élargissement des lèvres	HP:0000065#
Hypoplasie labiale	HP:0000066#
Lèvres sous-développées	HP:0000066#
Lèvres hypoplasiques	HP:0000066#
Atrésie de l'urètre, femelle	HP:0000067#
Atrésie de l'urètre	HP:0000068#
Anomalie de l'uretère	HP:0000069#
Anomalie des uretères	HP:0000069#
Problème d'uretère	HP:0000069#
Anomalies urétérales	HP:0000069#
Urétérocèle	HP:0000070#
Sténose urétérale	HP:0000071#
Rétrécissement de l'uretère	HP:0000071#
Hydroureter	HP:0000072#
Megaureter	HP:0000072#
Dilatation de l'uretère	HP:0000072#
Uroureter	HP:0000072#
Duplication de l'uretère	HP:0000073#
Double uretère	HP:0000073#
Obstruction de la jonction urétéro-pelvienne	HP:0000074#
Obstruction de la jonction pelvi-urétérale	HP:0000074#
Duplication rénale	HP:0000075#
Rein supplémentaire	HP:0000075#
Rein surnuméraire	HP:0000075#
Reflux vésico-urétéral	HP:0000076#
Reflux urétéral	HP:0000076#
Anomalie du rein	HP:0000077#
Maladie rénale	HP:0000077#
Anomalie rénale	HP:0000077#
Rein anormal	HP:0000077#
Anomalies rénales	HP:0000077#
Anomalie de l'appareil génital	HP:0000078#
Anomalie de l'appareil reproducteur	HP:0000078#
Anomalies génitales	HP:0000078#
Défauts génitaux	HP:0000078#
Anomalie génitale	HP:0000078#
Anomalie du système urinaire	HP:0000079#
Anomalies de l'appareil urinaire	HP:0000079#
Anomalie des voies urinaires	HP:0000079#
Anomalie de la physiologie du système reproducteur	HP:0000080#
Anomalie de la physiologie génitale	HP:0000080#
Anomalie fonctionnelle génitale	HP:0000080#
Système de collecte dupliqué	HP:0000081#
Système de collecte double	HP:0000081#
Systèmes collecteurs urinaires doubles sur pyélographie intraveineuse	HP:0000081#
Système de collecte recto-verso	HP:0000081#
Système collecteur rénal dupliqué	HP:0000081#
Insuffisance rénale	HP:0000083#
Insuffisance rénale à l'âge adulte	HP:0000083#
Rein de fer à cheval	HP:0000085#
Reins en fer à cheval	HP:0000085#
Reins fusionnés	HP:0000085#
Rein en fer à cheval	HP:0000085#
Rein ectopique	HP:0000086#
Ectopie rénale	HP:0000086#
Localisation anormale d'un rein	HP:0000086#
Reins ectopiques	HP:0000086#
Rein déplacé	HP:0000086#
Hypoplasie rénale	HP:0000089#
Reins hypoplasiques	HP:0000089#
Petits reins	HP:0000089#
Rein hypoplasique	HP:0000089#
Reins sous-développés	HP:0000089#
Néphronophthisis	HP:0000090#
néphronophthisis juvénile	HP:0000090#
Anomalie du tubule rénal	HP:0000091#
Atrophie tubulaire	HP:0000092#
Atrophie des cellules tubulaires rénales	HP:0000092#
Protéinurie	HP:0000093#
Taux élevé de protéines urinaires	HP:0000093#
Protéines dans les urines	HP:0000093#
Anomalie de la morphologie du glomérule rénal	HP:0000095#
Glomérulosclérose	HP:0000096#
Fibrose glomérulaire rénale	HP:0000096#
Glomérulosclérose segmentaire focale	HP:0000097#
glomérulosclérose focale	HP:0000097#
Glomérulosclérose focale et segmentaire	HP:0000097#
Sclérose glomérulaire focale et segmentaire	HP:0000097#
Grande taille	HP:0000098#
Augmentation de la croissance linéaire	HP:0000098#
Augmentation de la taille du corps	HP:0000098#
Croissance linéaire accélérée	HP:0000098#
Glomérulonéphrite	HP:0000099#
Néphrite glomérulaire	HP:0000099#
Syndrome néphrotique	HP:0000100#
Néphrose	HP:0000100#
Polyurie	HP:0000103#
Augmentation du débit urinaire	HP:0000103#
Agénésie rénale	HP:0000104#
Rein absent	HP:0000104#
Rein manquant	HP:0000104#
Aplasie rénale	HP:0000104#
Rein hypertrophié	HP:0000105#
Hypertrophie rénale	HP:0000105#
Gros reins	HP:0000105#
Néphromégalie	HP:0000105#
Grand rein	HP:0000105#
Kyste rénal	HP:0000107#
Maladie rénale kystique	HP:0000107#
Reins kystiques	HP:0000107#
Kystes rénaux	HP:0000107#
Kystes corticomédullaires rénaux	HP:0000108#
Kystes rénaux corticomédullaires	HP:0000108#
Maladie kystique corticomédullaire rénale	HP:0000108#
Dysplasie rénale	HP:0000110#
Adysplasie rénale	HP:0000110#
Reins dysplasiques	HP:0000110#
Hypertrophie/hyperplasie des cellules juxtaglomérulaires rénales	HP:0000111#
Néphropathie	HP:0000112#
Dommage aux reins	HP:0000112#
Dysplasie polykystique des reins	HP:0000113#
Reins polykystiques	HP:0000113#
Reins polykystiques hypertrophiés	HP:0000113#
Maladie polykystique des reins	HP:0000113#
Tubulopathie proximale	HP:0000114#
Lésion sélective des tubules proximaux	HP:0000114#
Défaut du tubule rénal proximal	HP:0000114#
Tubulopathie rénale proximale	HP:0000114#
Défaut tubulaire proximal	HP:0000114#
Dysfonctionnement des tubules proximaux	HP:0000114#
Déperdition rénale de phosphate	HP:0000117#
Diminution de la réabsorption tubulaire rénale du phosphate	HP:0000117#
Faible réabsorption tubulaire du phosphate	HP:0000117#
Diminution du maximum tubulaire de réabsorption du phosphate par débit de filtration glomérulaire	HP:0000117#
Anomalie phénotypique	HP:0000118#
Anomalie d'un organe	HP:0000118#
Anomalie du système génito-urinaire	HP:0000119#
Anomalies de l'appareil génito-urinaire	HP:0000119#
Anomalies urogénitales	HP:0000119#
Dysplasie génito-urinaire	HP:0000119#
Anomalie génito-urinaire	HP:0000119#
Malformation de l'appareil génito-urinaire	HP:0000119#
Maladie génito-urinaire	HP:0000119#
Néphrocalcinose	HP:0000121#
Augmentation du taux de calcium dans les reins	HP:0000121#
Agénésie rénale unilatérale	HP:0000122#
Absence de rein d'un côté	HP:0000122#
Manque d'un rein	HP:0000122#
Rein unique	HP:0000122#
Néphrite	HP:0000123#
Inflammation rénale	HP:0000123#
Dysfonctionnement tubulaire rénal	HP:0000124#
Maladie tubulaire rénale	HP:0000124#
Défaut tubulaire rénal	HP:0000124#
Rein pelvien	HP:0000125#
Rein sacré	HP:0000125#
Hydronéphrose	HP:0000126#
Atrophie rénale en sel	HP:0000127#
Perte de sel rénale	HP:0000127#
Perte de sel	HP:0000127#
Atrophie rénale en potassium	HP:0000128#
Anomalie de l'utérus	HP:0000130#
Malformations utérines	HP:0000130#
Anomalies utérines	HP:0000130#
Léiomyome utérin	HP:0000131#
Fibrome utérin	HP:0000131#
Léiomyomes utérins bénins	HP:0000131#
Ménorrhagie	HP:0000132#
Saignement anormalement abondant pendant les menstruations	HP:0000132#
Hyperménorrhée	HP:0000132#
Dysgénésie gonadique	HP:0000133#
Dysgénésie gonadique mixte	HP:0000133#
Dysgénésie gonadique pure	HP:0000133#
Hypogonadisme féminin	HP:0000134#
Hypogonadisme	HP:0000135#
Diminution de l'activité des gonades	HP:0000135#
Utérus bifide	HP:0000136#
Anomalie de l'ovaire	HP:0000137#
Anomalie des ovaires	HP:0000137#
Maladie ovarienne	HP:0000137#
Kyste ovarien	HP:0000138#
Anomalies kystiques des ovaires	HP:0000138#
Anomalie kystique des ovaires	HP:0000138#
Ovaires kystiques	HP:0000138#
Prolapsus utérin	HP:0000139#
Affaissement de l'utérus	HP:0000139#
Anomalie du cycle menstruel	HP:0000140#
Anomalies menstruelles	HP:0000140#
Aménorrhée	HP:0000141#
Absence anormale de menstruation	HP:0000141#
Anomalie du vagin	HP:0000142#
Malformation vaginale	HP:0000142#
Fistule rectovaginale	HP:0000143#
Baisse de la fertilité	HP:0000144#
Fertilité anormale	HP:0000144#
Diminution de la fertilité	HP:0000144#
Septum vaginal transversal	HP:0000145#
Membrane vaginale transversale	HP:0000145#
Ovaires polykystiques	HP:0000147#
Ovaire polykystique	HP:0000147#
Ovaires sclérokystiques	HP:0000147#
Maladie des ovaires polykystiques	HP:0000147#
Atrésie vaginale	HP:0000148#
Gonadoblastome ovarien	HP:0000149#
Gonadoblastome, femelle	HP:0000149#
Gonadoblastome	HP:0000150#
Aplasie de l'utérus	HP:0000151#
utérus absent	HP:0000151#
Utérus absent	HP:0000151#
Anomalie de la tête ou du cou	HP:0000152#
Anomalie de la tête et du cou	HP:0000152#
Anomalie de la bouche	HP:0000153#
Bouche anormale	HP:0000153#
Bouche large	HP:0000154#
Macrostomie	HP:0000154#
Grande bouche	HP:0000154#
Grande ouverture buccale	HP:0000154#
Ulcère buccal	HP:0000155#
Aphte buccal	HP:0000155#
Anomalie de la langue	HP:0000157#
Anomalie glossale	HP:0000157#
Anomalie linguale	HP:0000157#
Macroglossie	HP:0000158#
Hyperplasie de la langue	HP:0000158#
Hypertrophie de la langue	HP:0000158#
Hypertrophie glossale	HP:0000158#
Grande langue	HP:0000158#
Hypertrophie linguale	HP:0000158#
Langue anormalement grande	HP:0000158#
Hyperplasie linguale	HP:0000158#
Augmentation de la taille de la langue	HP:0000158#
Anomalie de la lèvre	HP:0000159#
Déformation de la lèvre	HP:0000159#
Malformation de la lèvre	HP:0000159#
Lèvre anormale	HP:0000159#
Bouche étroite	HP:0000160#
Petite ouverture buccale	HP:0000160#
Microstomie	HP:0000160#
Petite bouche	HP:0000160#
Fente labiale médiane	HP:0000161#
Fente centrale de la lèvre supérieure	HP:0000161#
Glossoptose	HP:0000162#
Rétraction linguale	HP:0000162#
Rétraction de la langue	HP:0000162#
Déplacement postérieur de la langue	HP:0000162#
Anomalie de la cavité buccale	HP:0000163#
Anomalie de la dentition	HP:0000164#
Anomalies dentaires	HP:0000164#
Problèmes dentaires	HP:0000164#
Problème dentaire	HP:0000164#
Anomalie des dents	HP:0000164#
Anomalie dentaire	HP:0000164#
Dents anormales	HP:0000164#
Parodontite sévère	HP:0000166#
Pyorrhée sévère	HP:0000166#
Maladie grave des gencives	HP:0000166#
Maladie parodontale sévère	HP:0000166#
Anomalie de la gencive	HP:0000168#
Anomalie gingivale	HP:0000168#
Fibromatose gingivale	HP:0000169#
Fibromatose gingivale héréditaire	HP:0000169#
Nodules fibreux gingivaux	HP:0000169#
Fibrome gingival	HP:0000169#
Hyperplasie gingivale idiopathique	HP:0000169#
Microglossie	HP:0000171#
Diminution de la taille de la langue	HP:0000171#
Langue hypoplasique	HP:0000171#
Hypoplasie linguale	HP:0000171#
Langue rudimentaire	HP:0000171#
Langue anormalement petite	HP:0000171#
Hypoglossie	HP:0000171#
Sous-développement de la langue	HP:0000171#
Petite langue	HP:0000171#
Hypoplasie de la langue	HP:0000171#
Anomalie de la luette	HP:0000172#
Anomalie de la luette palatine	HP:0000172#
Anomalie du palais	HP:0000174#
Anomalie du toit de la bouche	HP:0000174#
Fente palatine	HP:0000175#
Fente du palais dur et du palais mou	HP:0000175#
Palatoschisis	HP:0000175#
Uranostaphyloschisis	HP:0000175#
Fente sous-muqueuse du palais dur	HP:0000176#
Fente du palais dur d'épaisseur partielle	HP:0000176#
Fente sous-muqueuse	HP:0000176#
Fente palatine sous-muqueuse	HP:0000176#
Anomalie de la lèvre supérieure	HP:0000177#
Déformation de la lèvre supérieure	HP:0000177#
Malformation de la lèvre supérieure	HP:0000177#
Anomalie de la lèvre inférieure	HP:0000178#
Déformation de la lèvre inférieure	HP:0000178#
Malformation de la lèvre inférieure	HP:0000178#
Vermillon épais de la lèvre inférieure	HP:0000179#
Partie rouge épaisse de la lèvre inférieure	HP:0000179#
Épais bord vermillon de la lèvre inférieure	HP:0000179#
Lèvre inférieure épaisse	HP:0000179#
Lèvre inférieure entièrement vermillon	HP:0000179#
Lèvre inférieure proéminente	HP:0000179#
Volume accru de la lèvre inférieure	HP:0000179#
Lèvre inférieure pleine	HP:0000179#
Lèvre inférieure pulpeuse	HP:0000179#
Augmentation de la hauteur du vermillon de la lèvre inférieure	HP:0000179#
Vermillon de la lèvre inférieure proéminent	HP:0000179#
Augmentation du volume du vermillon de la lèvre inférieure	HP:0000179#
Langue lobulée	HP:0000180#
Lobules linguaux	HP:0000180#
Langue bosselée	HP:0000180#
Anomalie de mouvement de la langue	HP:0000182#
Anomalie du mouvement lingual	HP:0000182#
Difficulté des mouvements de la langue	HP:0000183#
Difficulté dans les mouvements de la langue	HP:0000183#
Hypokinésie de la langue	HP:0000183#
Hypokinésie linguale	HP:0000183#
Difficulté dans les mouvements linguaux	HP:0000183#
Fente du voile du palais	HP:0000185#
Fente du vélum	HP:0000185#
Fente palatine musculaire	HP:0000185#
Fente du palais mou	HP:0000185#
Crêtes alvéolaires larges	HP:0000187#
Processus alvéolaires larges de la mâchoire	HP:0000187#
Crêtes alvéolaires élargies	HP:0000187#
Bords alvéolaires larges	HP:0000187#
Crêtes gingivales larges	HP:0000187#
Lèvre supérieure courte	HP:0000188#
Diminution de la hauteur de la lèvre supérieure	HP:0000188#
Raccourcissement de la lèvre supérieure	HP:0000188#
Diminution de la longueur verticale de la lèvre supérieure	HP:0000188#
Déficit vertical de la lèvre supérieure	HP:0000188#
Diminution de la longueur du labial supérieur	HP:0000188#
Palais étroit	HP:0000189#
Diminution de la largeur du palais	HP:0000189#
Diminution de la dimension transversale du palais	HP:0000189#
Toit de la bouche étroit	HP:0000189#
Morphologie anormale du crénule oral	HP:0000190#
Anomalie du crénule oral	HP:0000190#
Frénule buccale accessoire	HP:0000191#
Frénule oral multiple	HP:0000191#
Frénule buccale supplémentaire	HP:0000191#
Frénule oral surnuméraire	HP:0000191#
Crénule buccal surnuméraire	HP:0000191#
Uvule bifide	HP:0000193#
P luette fendue	HP:0000193#
P luette palatine bifide	HP:0000193#
Uvule fourchue	HP:0000193#
Bouche ouverte	HP:0000194#
Apparence de mâchoire fendue	HP:0000194#
Apparence de mâchoire relâchée	HP:0000194#
Apparition d'une bouche évasée	HP:0000194#
Apparition de la bouche ouverte	HP:0000194#
Fosse de la lèvre inférieure	HP:0000196#
Anomalie de la glande parotide	HP:0000197#
Absence du canal de Stensen	HP:0000198#
Défaut de développement du canal de Stensen	HP:0000198#
Canal parotidien manquant	HP:0000198#
Agénésie du canal parotidien	HP:0000198#
Défaut de développement du canal parotidien	HP:0000198#
Absence de canal parotidien	HP:0000198#
Agénésie du canal de Stensen	HP:0000198#
Nodules de la langue	HP:0000199#
Nodules linguaux	HP:0000199#
Créneau lingual court	HP:0000200#
Déficience du crénule lingual	HP:0000200#
Crénule lingual court	HP:0000200#
Hypoplasie du crénule lingual	HP:0000200#
Crénule lingual serré	HP:0000200#
Hypoplasie du frein de la langue	HP:0000200#
Hypoplasie du rognon lingual	HP:0000200#
Séquence Pierre-Robin	HP:0000201#
Séquence Robin	HP:0000201#
Malformation de Pierre-robin	HP:0000201#
Déformation de Pierre-robin	HP:0000201#
Anomalie de Pierre-robin	HP:0000201#
Séquence de Pierre Robin	HP:0000201#
Fente buccale	HP:0000202#
Fente labiale, fente palatine	HP:0000202#
Fente orale	HP:0000202#
Fente labiale/palatine	HP:0000202#
Fente de la lèvre supérieure	HP:0000204#
Chéiloschisis de la lèvre supérieure	HP:0000204#
Bec-de-lièvre	HP:0000204#
Lèvres pincées	HP:0000205#
Lèvres serrées	HP:0000205#
Glossitis	HP:0000206#
Langue lisse et gonflée	HP:0000206#
Inflammation de la langue	HP:0000206#
Inflammation linguale	HP:0000206#
Bouche triangulaire	HP:0000207#
Ouverture buccale de forme triangulaire	HP:0000207#
Bouche de forme triangulaire	HP:0000207#
Trisme	HP:0000211#
Ouverture limitée de la mâchoire	HP:0000211#
Diminution de l'ouverture mandibulaire	HP:0000211#
Mobilité limitée de la mâchoire	HP:0000211#
Diminution de l'ouverture de la mâchoire	HP:0000211#
Mouvement limité de la mâchoire	HP:0000211#
Diminution de la mobilité mandibulaire	HP:0000211#
Mobilité mandibulaire limitée	HP:0000211#
Diminution du mouvement de la mâchoire	HP:0000211#
Ouverture mandibulaire limitée	HP:0000211#
Diminution de la mobilité de la mâchoire	HP:0000211#
Ouverture limitée de la bouche	HP:0000211#
Douleur des muscles de la mastication	HP:0000211#
Diminution du mouvement mandibulaire	HP:0000211#
Excroissance gingivale	HP:0000212#
Hyperplasie des tissus mous de la bouche	HP:0000212#
Agrandissement de la gencive	HP:0000212#
Hypertrophie gingivale	HP:0000212#
Hyperplasie gingivale	HP:0000212#
Télangiectasie des lèvres	HP:0000214#
Veines en araignée de la lèvre	HP:0000214#
Angioectasies de la lèvre	HP:0000214#
Télangiectasies des lèvres	HP:0000214#
Angioectasies labiales	HP:0000214#
Télangiectasies labiales	HP:0000214#
Vermillon épais de la lèvre supérieure	HP:0000215#
Lèvre supérieure épaisse	HP:0000215#
Lèvre supérieure pleine	HP:0000215#
Augmentation du volume du vermillon de la lèvre supérieure	HP:0000215#
Augmentation de la hauteur du vermillon de la lèvre supérieure	HP:0000215#
Lèvre supérieure proéminente	HP:0000215#
Lèvre supérieure dodue	HP:0000215#
Bordure vermillon épaisse de la lèvre supérieure	HP:0000215#
Lèvre supérieure entièrement vermillon	HP:0000215#
Volume accru de la lèvre supérieure	HP:0000215#
Partie rouge épaisse de la lèvre supérieure	HP:0000215#
Vermillon de la lèvre supérieure proéminent	HP:0000215#
Crête alvéolaire secondaire large	HP:0000216#
Crêtes alvéolaires secondaires	HP:0000216#
Xérostomie	HP:0000217#
Syndrome de la bouche sèche	HP:0000217#
Bouche sèche	HP:0000217#
Réduction de la salivation	HP:0000217#
Diminution du flux salivaire	HP:0000217#
Palais élevé	HP:0000218#
Augmentation de la hauteur du palais	HP:0000218#
Palais haut et arqué	HP:0000218#
Vermillon de la lèvre supérieure mince	HP:0000219#
Diminution de la hauteur du vermillon de la lèvre supérieure	HP:0000219#
Diminution du volume du vermillon de la lèvre supérieure	HP:0000219#
Diminution du volume de la lèvre supérieure	HP:0000219#
Partie fine et rouge de la lèvre supérieure	HP:0000219#
Lèvre supérieure mince	HP:0000219#
Lèvres supérieures minces	HP:0000219#
Finesse du bord vermillon de la lèvre supérieure	HP:0000219#
Insuffisance vélopharyngée	HP:0000220#
Incompétence vélopharyngée	HP:0000220#
Dysfonctionnement du vélopharynx	HP:0000220#
Langue sillonnée	HP:0000221#
Sillon lingual	HP:0000221#
Sillons linguaux proéminents	HP:0000221#
Langue plissée	HP:0000221#
Langue fissurée	HP:0000221#
Langue cannelée	HP:0000221#
Lingue plicata	HP:0000221#
Hyperkératose gingivale	HP:0000222#
Anomalie de la sensation du goût	HP:0000223#
Diminution de la sensation du goût	HP:0000224#
Diminution du goût	HP:0000224#
Perte du goût	HP:0000224#
Saignements gingivaux	HP:0000225#
Gingivorrhagie	HP:0000225#
Saignement des gencives	HP:0000225#
Hémorragie gingivale	HP:0000225#
Télangiectasie de la langue	HP:0000227#
Angioectasies de la langue	HP:0000227#
Veines en araignée de la langue	HP:0000227#
Angioectasies linguales	HP:0000227#
Télangiectasies linguales	HP:0000227#
Télangiectasie de la cavité buccale	HP:0000228#
Veines en araignée de la bouche	HP:0000228#
Veines en araignée de la cavité buccale	HP:0000228#
Angioectasies de la bouche	HP:0000228#
Angioectasies de la cavité buccale	HP:0000228#
Téléangiectasies de la cavité buccale	HP:0000228#
Gingivite	HP:0000230#
Inflammation des gencives	HP:0000230#
Gencives enflammées	HP:0000230#
Gencives rouges et gonflées	HP:0000230#
Lèvre inférieure retroussée vermillon	HP:0000232#
Lèvre inférieure éversée	HP:0000232#
Lèvre inférieure tournée vers l'extérieur	HP:0000232#
Lèvre inférieure éversée et proéminente	HP:0000232#
Lèvre inférieure saillante	HP:0000232#
Éclaboussure de la lèvre inférieure	HP:0000232#
Lèvre inférieure tombante	HP:0000232#
Bordure vermillon mince	HP:0000233#
Lèvres minces	HP:0000233#
Diminution du volume du vermillon des lèvres	HP:0000233#
Diminution du volume de la lèvre	HP:0000233#
Vermillon fin	HP:0000233#
Anomalie de la tête	HP:0000234#
Tête anormale	HP:0000234#
Anomalie des fontanelles ou des sutures crâniennes	HP:0000235#
Anomalie de la fontanelle antérieure	HP:0000236#
Anomalie du point mou du front	HP:0000236#
Petite fontanelle antérieure	HP:0000237#
Petite fontanelle frontale	HP:0000237#
Hydrocéphalie	HP:0000238#
Hydrocéphalie non syndromique	HP:0000238#
Grandes fontanelles	HP:0000239#
Fontanelles élargies	HP:0000239#
Sutures bregma larges	HP:0000239#
Grande fontanelle à fermeture tardive	HP:0000239#
Large fontanelle persistante	HP:0000239#
Grande fontanelle	HP:0000239#
Fontanelles larges	HP:0000239#
Anomalie de la taille du crâne	HP:0000240#
Anomalie de la taille de la tête	HP:0000240#
Bossage pariétal	HP:0000242#
Bossage de l'os pariétal	HP:0000242#
Bossage bipariétal	HP:0000242#
Trigonocéphalie	HP:0000243#
Tête en forme de coin	HP:0000243#
Crâne en forme de coin	HP:0000243#
Forme triangulaire du crâne	HP:0000243#
Forme triangulaire de la tête	HP:0000243#
Brachyturricephalie	HP:0000244#
Turribrachycéphalie	HP:0000244#
Anomalie des sinus paranasaux	HP:0000245#
Anomalie des sinus	HP:0000245#
Anomalie des sinus de la tête	HP:0000245#
Sinusite	HP:0000246#
Inflammation des sinus	HP:0000246#
Maladie des sinus	HP:0000246#
Infection des sinus	HP:0000246#
Brachycéphalie	HP:0000248#
Forme large du crâne	HP:0000248#
Forme large de la tête	HP:0000248#
Calvaire dense	HP:0000250#
Microcéphalie	HP:0000252#
Crâne anormalement petit	HP:0000252#
Diminution de la taille du crâne	HP:0000252#
Circonférence réduite de la tête	HP:0000252#
Circonférence réduite du crâne	HP:0000252#
Petit crâne	HP:0000252#
Petite circonférence de la tête	HP:0000252#
Diminution de la taille de la tête	HP:0000252#
Tête anormalement petite	HP:0000252#
Petite tête	HP:0000252#
petit calvarium	HP:0000252#
Microcéphalie progressive	HP:0000253#
Crâne anormalement petit, progressif	HP:0000253#
Microcéphalie, progressive	HP:0000253#
Microcéphalie, postnatale, progressive	HP:0000253#
Sinusite aiguë	HP:0000255#
Macrocéphalie	HP:0000256#
Grande circonférence de la tête	HP:0000256#
Augmentation de la taille de la tête	HP:0000256#
Grande calvaire	HP:0000256#
Augmentation de la taille du crâne	HP:0000256#
Grande tête	HP:0000256#
Macrocrania	HP:0000256#
Mégacéphalie	HP:0000256#
Gros crâne	HP:0000256#
Grand crâne	HP:0000256#
Large fontanelle antérieure	HP:0000260#
Grande fontanelle antérieure	HP:0000260#
Grande fontanelle antérieure ouverte	HP:0000260#
Grandes fontanelles antérieures	HP:0000260#
Fontanelle antérieure large	HP:0000260#
Fontanelle antérieure large et ouverte	HP:0000260#
Turricephalie	HP:0000262#
Crâne de forme allongée	HP:0000262#
Tête haute	HP:0000262#
Crâne en forme de tour	HP:0000262#
Oxycéphalie	HP:0000263#
Acrocéphalie	HP:0000263#
Anomalie de la mastoïde	HP:0000264#
Anomalie de l'apophyse mastoïde de l'os temporal	HP:0000264#
Mastoïdite	HP:0000265#
Asymétrie crânienne	HP:0000267#
